adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[18],1426385,en,zvarak,The tradition of bloodletting remains insurmountable in many nations today and ruins people's lives.,0.0659,/kqrso6cjlCKGVFQatQELzwa7UwB.jpg,1990-06-13,ზვარაკი,False,0.0,0
False,,[],1314164,en,Blockbuster Training Video,A training video made by Blockbuster Video.,0.0382,/kwzXTzu88jLLIQSFtVpxpqq4reu.jpg,1990-05-01,Blockbuster Training Video,False,0.0,0
False,,[14],1291913,en,Beyond Human,"A series of 12 videos documenting the history of Heaven's Gate as told by the group's leader, Marshall Applewhite (known to his followers as Do). Applewhite explains the theology of the group, the reasons for the ""exit"" they were planning in the late 1990s. Applewhite explains the ""students"" of the group that were part of an intensive classroom training. He also explains the behaviors the students needed to ""drop"" to become a member of the Kingdom of Heaven.",0.0398,/sHWmcX59NS6r04PIWNge9IxM7pe.jpg,1990-01-01,Beyond Human,False,0.0,0
False,,[99],1092466,is,Thor Vilhjálmsson,"A documentary programme about the life and work of the Icelandic author, Thor Vilhjálmsson.",0.0311,,1990-01-01,Thor Vilhjalmsson,False,0.0,0
False,,[],930731,en,Mutual Native Duplex,"In his Video Griots Trilogy, Jenkins creates a series of video meditations on history and culture. Using archival footage, photographs, image processing, and an elegiac soundtrack, he pulls together diverse strands of thought to construct an ""other"" history. ""Mutual Native Duplex"" is a video essay on the mutual alliances between Native and African Americans which celebrates the ""neo-American model"" of inter-cultural cooperation that grew out of these encounters.",0.0659,/2twix7948Rhq84nS70T3c5lUc0K.jpg,1990-12-31,Mutual Native Duplex,False,0.0,0
False,,"[14, 10751]",619402,bg,Омагьосаният замък,A beautiful princess is locked in a tower and an evil wizard wants to marry her.,0.0311,,1990-01-01,The Enchanted Castle,False,0.0,0
False,,[35],172570,fr,"Courtemanche, le Comique qui cartoone",,0.0311,/ziDI503guGI0W2BiMFprsiy7KKk.jpg,1990-01-01,"Courtemanche, le Comique qui cartoone",False,8.0,2
False,,[99],1126962,de,Es kommt alles aus mir selbst,"Nine peasant woodcarvers from Poland, their works, their thoughts, and the unexpected elements in each personal view. They draw their themes from biblical characters, the day-to-day pleasures and labours of village life, their historical heritage, but also Auschwitz and the devil next-door. Existential difficulties pose challenges. Lending them form is a way to master them, to constrain them within an image.",0.0264,/b1QII7KxYRoFgV9n1Qh0yAfk7mJ.jpg,1990-01-01,Es kommt alles aus mir selbst,False,0.0,0
False,,[],281437,en,If Every Girl Had a Diary,"Setting her pixelvision camera on herself and her room, Benning searches for a sense of identity and respect as a woman and a lesbian. Acting alternately as confessor and accuser, the camera captures Benning’s anger and frustration at feeling trapped by social prejudices.",0.0336,,1990-01-01,If Every Girl Had a Diary,False,1.7,3
False,,[878],1160852,en,The Religious Experience of Philip K. Dick,"In 1974, Philip K. Dick had a vision that changed his life in the following years. The story, told by himself among the nine thousand pages of his Exegesis diary, and in several interviews, was then portrayed by Robert Crumb.",0.0368,/sx7Lo32pFSNCkPHMVVmx42GEqMX.jpg,1990-06-30,The Religious Experience of Philip K. Dick,False,0.0,0
